surrogate,abs_NetTE
1,0.004962110426276922
2,0.005089751444756985
3,0.006020669359713793
4,0.005378951784223318
5,0.005561213009059429
6,0.009187486954033375
7,0.007844938896596432
8,0.008649243041872978
9,0.004080017097294331
10,0.010223163291811943
11,0.008096093311905861
12,0.008972233161330223
13,0.008068201132118702
14,0.011499815620481968
15,0.011151687242090702
16,0.0022796732373535633
17,0.010224747471511364
18,0.005071108695119619
19,0.0015327529981732368
20,0.005228483583778143
21,0.013379087671637535
22,0.0001334843400400132
23,0.0011666245991364121
24,0.0034282442647963762
25,0.012011848390102386
26,0.0038924349937587976
27,0.0011059980606660247
28,0.004258735571056604
29,0.0002844778064172715
30,0.005596841685473919
31,0.011568509042263031
32,0.00039504453889094293
33,0.008222169242799282
34,0.008733842521905899
35,0.0011139834532514215
36,0.005528360139578581
37,0.002083395142108202
38,0.0017409325810149312
39,0.0019428204977884889
40,0.0025309340562671423
41,0.005107182078063488
42,0.00766973989084363
43,0.004869895987212658
44,0.004975079093128443
45,0.0016096832696348429
46,0.001992414239794016
47,0.01883227564394474
48,0.0007444331422448158
49,0.00024866691092029214
50,0.003239893587306142
51,0.0005190288065932691
52,0.004630584269762039
53,0.00463482178747654
54,0.0041540274396538734
55,0.020769665017724037
56,0.02046404592692852
57,0.011346534825861454
58,0.0024779580999165773
59,0.00656295008957386
60,0.012842020951211452
61,0.012700182385742664
62,0.004339006729424
63,0.010228119790554047
64,0.004690735600888729
65,0.003918406553566456
66,0.0011234156554564834
67,0.008327129296958447
68,0.00226308754645288
69,0.010525207966566086
70,0.0006112064002081752
71,0.012814579531550407
72,0.004015025217086077
73,0.0036550655495375395
74,0.012715177610516548
75,0.0011050393804907799
76,0.002170746447518468
77,0.0020105051808059216
78,0.016610924154520035
79,0.007794275879859924
80,0.003290995256975293
81,0.006384850014001131
82,0.0024895963724702597
83,0.01053551398217678
84,0.008360686711966991
85,0.0024252559524029493
86,0.0026789396069943905
87,0.01278463564813137
88,0.002960246754810214
89,0.013973084278404713
90,0.012722761370241642
91,0.003342693205922842
92,0.0007858703611418605
93,0.007301198784261942
94,0.0022371516097337008
95,0.000833385216537863
96,0.0002102470025420189
97,0.007384834811091423
98,0.0027020422276109457
99,0.006263961084187031
100,0.005864248611032963
101,0.025892624631524086
102,0.018356066197156906
103,0.0033667879179120064
104,0.00046351453056558967
105,0.003372886683791876
106,0.008537482470273972
107,0.0023376804310828447
108,0.0016619890229776502
109,0.005443976726382971
110,0.0031146444380283356
111,0.008154507726430893
112,0.013229706324636936
113,0.008465064689517021
114,0.024365141987800598
115,0.004276642110198736
116,0.00010528521670494229
117,0.0033919583074748516
118,0.0035265227779746056
119,0.0054488154128193855
120,0.007154116407036781
121,0.012699841521680355
122,0.011812357231974602
123,0.003979413770139217
124,0.0047918460331857204
125,0.004506297875195742
126,0.011205007322132587
127,0.006495628505945206
128,0.012184123508632183
129,0.0012755171628668904
130,0.012432843446731567
131,0.0006842174334451556
132,0.0074644689448177814
133,0.007321629207581282
134,0.0009820717386901379
135,0.006820362061262131
136,0.0050619812682271
137,0.0015488816425204277
138,0.003070311388000846
139,0.0016305536264553666
140,0.003360593458637595
141,0.004701428581029177
142,0.001584783778525889
143,0.0003438999701756984
144,0.002361748367547989
145,0.010536420159041882
146,0.009167209267616272
147,0.008340651169419289
148,0.00390845350921154
149,0.004445747472345829
150,0.011168844066560268
151,0.004536216612905264
152,0.0028858105652034283
153,0.004815757740288973
154,0.0076103550381958485
155,0.01807839423418045
156,0.006002489011734724
157,0.012127838097512722
158,0.0016279456904157996
159,0.008546124212443829
160,0.0025784289464354515
161,0.009563220664858818
162,0.00604389188811183
163,0.0026188334450125694
164,0.006238768808543682
165,0.0019951025024056435
166,0.009218057617545128
167,0.010286950506269932
168,0.005667808931320906
169,0.00028149591526016593
170,0.004472807515412569
171,0.00019794033141806722
172,0.0008255011634901166
173,0.003695443272590637
174,0.005376526154577732
175,0.007569475099444389
176,0.0008943678112700582
177,1.60506406245986e-05
178,0.007652611006051302
179,0.0016608276637271047
180,0.003115059109404683
181,0.002120622433722019
182,0.00035190244670957327
183,0.0003162852372042835
184,0.010406657122075558
185,0.00712510384619236
186,0.0019950089044868946
187,0.006958783604204655
188,0.006022172514349222
189,0.011725380085408688
190,0.0034863248001784086
191,0.0020356024615466595
192,0.00043660879600793123
193,0.002789701335132122
194,0.0007504193927161396
195,0.011634552851319313
196,0.00587092898786068
197,0.012926732189953327
198,0.009112220257520676
199,0.0005480353720486164
200,0.017851749435067177
